
 File path          File path          Similarity  Longest fragment        Total overlap

 RR_K_PES1UG21CS67  RR_L_PES1UG21CS68  0.709677    32             176
 1.py               1.py
 model3.py          RR_L_PES1UG21CS68  0.238317    4              51
                    1.py
 model3.py          RR_K_PES1UG21CS67  0.165       4              33
                    1.py
